itemName,itemNumber,itemType,itemBrand,itemCondition,itemSize,itemColor,itemRemarks,itemStatus,itemMfgDate,position,warehouseName,warehouseDescription,positionName,positionCapacity,photos,purchaseDate,purchasePrice,purchasePlatform,purchasePriceCurrency,purchasePriceExchangeRate,launchDate,soldDate,soldPrice,soldPlatform,soldPriceCurrency,soldPriceExchangeRate,itemGrossProfit,itemNetProfit,shipping,transactionStatues,isReturn,storageDuration,domesticShipping,internationalShipping,domesticTrackingNumber,internationalTrackingNumber,listingPlatforms,otherFees
名称,尺码,购入价,成色,配件,备注,状态,售出价格（日元）,售出价格（人民币）,利润,利润率,购入时间,售出日,上架日期,出售时长,购入平台,售出平台,,,,,,2024/4/21,18576,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
梅西,40,6000,全新,其他,闲鱼买 煤炉出,售出,172800,#VALUE!,#VALUE!,45.21%,2月27日,2024/1/22,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
梅西,41,7100,未使用近全新,其他,闲鱼买 煤炉出,售出,180000,#VALUE!,#VALUE!,27.89%,2月27日,2024/1/23,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb buck,42.5,1500,9新,配件鞋盒丢失,闲鱼买 煤炉出,售出,36950,#VALUE!,#VALUE!,18.96%,5月7日,2023/7/22,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 滑板女郎,42,2540,9新,配件齐全,闲鱼,售出,101200,#VALUE!,#VALUE!,99.26%,5月23日,2023/6/19,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 万圣节,44.5,2480,9新,配件丢失,闲鱼,售出,63950,#VALUE!,#VALUE!,27.48%,5月23日,2023/11/15,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
aj1 sb 北卡蓝,41,2160,未使用近全新,配件齐全,鞋盒标褪色,售出,38060,#VALUE!,2712.80 ,125.59%,5月28日,,,,闲鱼,,,,,,,,29760,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
aj4 ts ,44,1600,95新,配件齐全,,售出,52440,#VALUE!,1980.00 ,60.90%,5月28日,2023/7/7,,,闲鱼,MERUCARI,,,,,,,50350,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk sb 慈善,43,2120,全新,配件鞋盒丢失,,售出,53000,#VALUE!,284.45 ,22.78%,5月29日,2023/10/22,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
aj1 扣碎 1.0,42.5,2200,9新,配件齐全,,售出,75650,#VALUE!,2521.20 ,70.83%,6月1日,2023/8/11,,,闲鱼,MERUCARI,,,,,,2024/6/19,40920,,JYP,0.05,,,,,,,,110,,,,
dunk sb ftc,44,2320,99新,配件鞋盒丢失,闲鱼买 煤炉出,售出,53150,#VALUE!,681.45 ,12.53%,6月1日,2023/11/26,,,闲鱼,MERUCARI,,,,,,2024/4/24,61149,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
aj1 turbo green,44,510,8新,配件丢失,,未售出,,#VALUE!,-318.94 ,0.00%,6月8日,,,,闲鱼,,,,,,,,50350,,JYP,0.05,,,,,,,,110,,,,
aj1 黑红脚趾,41,1000,99新,配件齐全,,售出,40480,#VALUE!,974.44 ,96.45%,6月8日,2023/6/23,,,闲鱼,MERUCARI,,,,,,2024/5/24,32680,,JYP,0.05,,,,,,,,110,,,,
dunk sb mia,44.5,1320,8新,配件齐全,,售出,40120,#VALUE!,483.00 ,47.43%,6月8日,,,,闲鱼,MERUCARI,,,,,,,34410,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
af1 白丝绸,43,1880,9新,鞋盒丢失,,未上架,,#VALUE!,1558.15 ,0.00%,6月15日,,,,闲鱼,MERUCARI,,,,,,2024/3/27,52080,MERUCARI,JYP,0.05,,,,,,,,110,,,,
dunk sb 布鲁克林,44,2120,99新,配件齐全,,未售出,,#VALUE!,290.65 ,0.00%,6月15日,,,,闲鱼,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 滑板女郎,44.5,5500,全新,配件齐全,,售出,143350,#VALUE!,0.00 ,31.11%,6月16日,2023/12/13,,,闲鱼,MERUCARI,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 滑板女郎,44,5000,全新,配件齐全,,售出,160000,#VALUE!,964.48 ,61.20%,6月18日,2024/10/16,,,闲鱼,MERUCARI,,,,,,2024/2/21,32250,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
aj1 turbo green,42.5,1100,95新,配件齐全,,售出,28830,#VALUE!,626.12 ,24.58%,6月19日,,,,95分,SNKRDUNK,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb sod,42.5,1000,未使用近全新,配件鞋盒丢失,,售出,51350,#VALUE!,0.00 ,151.89%,6月21日,2023/8/10,,,,MERUCARI,,,,,,2024/10/19,26040,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk sb 春丽,42.5,2000,95新,配件鞋盒丢失,,售出,80960,#VALUE!,0.00 ,101.45%,6月21日,2023/7/27,,,,,,,,,,2024/10/1,92814,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk sb 潜鸟,42.5,2500,9新,配件齐全,,售出,61640,#VALUE!,1710.85 ,21.75%,6月21日,,,,,,,,,,,2024/8/3,111600,,JYP,0.05,,,,,,,,110,,,,
dunk sb 芝加哥,43,2100,95新,配件齐全,,售出,54870,#VALUE!,3060.00 ,28.49%,6月21日,,,,,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 橙盒,42,1350,8新,配件齐全,,售出,38130,#VALUE!,270.33 ,36.64%,6月22日,,,,,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
nb 992,42.5,1150,95新,配件齐全,,售出,41400,#VALUE!,1518.85 ,74.90%,6月22日,,,,,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
aj1 ko 北卡套装,42,1440,全新,配件齐全,,未售出,,#VALUE!,2028.96 ,0.00%,6月23日,,,,闲鱼,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 熊猫鸽子,42.5,2000,9新,配件丢失,,售出,58500,#VALUE!,543.64 ,44.18%,6月23日,,,,,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
aj1 黑红脚趾,42.5,970,95新,配件齐全,鞋盒用胶带固定,售出,33480,#VALUE!,598.37 ,65.72%,6月24日,2023/9/7,,,,,,,,,,2024/3/10,100400,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
aj1 北卡蓝,45,1380,9新,配件丢失,,售出,50600,#VALUE!,494.63 ,79.75%,7月2日,2023/7/27,,,,,,,,,,2024/3/18,113460,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk sb true red,42,3600,未使用近全新,配件齐全,,未上架,,#VALUE!,861.40 ,0.00%,7月2日,,,,,,,,,,,2024/3/29,115209,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk sb 牙龈出血,44,1740,全新,配件鞋盒丢失,,未售出,,#VALUE!,0.00 ,0.00%,7月2日,,,,,,,,,,,2024/3/23,64170,SNKRDUNK,JYP,0.05,,,,,,,,110,,,,
dunk kasina 深蓝,43,1680,9新,配件丢失,,售出,58880,#VALUE!,883.50 ,72.79%,7月4日,2023/9/10,,,,,,,,,,,,,JYP,0.05,,,,,,,,110,,,,
dunk sb 潜鸟,41,1500,9新,配件齐全,,售出,46500,#VALUE!,637.48 ,51.43%,7月7日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑曜石,42.5,860,9新,配件齐全,,未售出,,#VALUE!,1100.60 ,0.00%,7月8日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 灯芯绒,44,700,8新,配件鞋盒丢失,,未售出,,#VALUE!,0.00 ,0.00%,7月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,44,2500,未使用近全新,配件齐全,,售出,78200,#VALUE!,0.00 ,55.53%,7月9日,2023/7/27,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 汤达人,43,930,9新,配件丢失,,售出,27900,#VALUE!,1222.88 ,42.25%,7月9日,2023/11/30,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑蓝,45,820,95新,配件齐全,,售出,38000,#VALUE!,771.50 ,124.15%,7月11日,2023/9/6,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb jedi,42.5,900,8新,配件齐全,,售出,46850,#VALUE!,0.00 ,154.37%,7月14日,2023/7/31,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,42.5,2700,全新,配件齐全,,售出,80960,#VALUE!,0.00 ,49.22%,7月15日,2023/8/26,,,,,,,,,,,,,,,,,,,,,,,,,,
sacai 红蓝,42.5,1000,95新,配件齐全,,未售出,,#VALUE!,1388.20 ,0.00%,7月18日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 灯芯绒,43,1000,,,,未售出,,#VALUE!,392.90 ,0.00%,7月23日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁止转卖,42,1650,9新,配件齐全,,售出,48000,#VALUE!,1018.00 ,42.30%,7月25日,2023/9/2,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 粉红熊,44.5,1000,95新,配件齐全,,售出,32550,#VALUE!,1389.35 ,56.01%,7月25日,2023/10/4,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 钻石,44,5900,9新,配件齐全,,售出,148800,#VALUE!,1328.96 ,26.93%,7月25日,2023/11/13,,,闲鱼,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
kobe 5 laker,46,2300,,,,售出,61380,#VALUE!,0.00 ,31.76%,7月25日,2024/7/15,,,闲鱼,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
aj1 薄荷糖,44,850,9新,配件齐全,,售出,30225,#VALUE!,0.00 ,69.59%,7月26日,2023/12/5,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992EA 黑武士 ,42,600,8新,配件鞋盒丢失,,售出,27900,#VALUE!,698.00 ,120.48%,7月26日,2023/9/1,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 993 navi,44.5,800,9新,,,售出,26000,#VALUE!,560.05 ,53.25%,7月26日,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992 海军蓝,43,720,8新,配件齐全,褪色，后跟磨损,售出,30690,#VALUE!,1588.80 ,103.50%,7月27日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 薄荷糖,42,950,9新,配件齐全,,售出,30500,#VALUE!,730.38 ,53.21%,7月28日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,44,1640,9新,配件齐全,,售出,55800,#VALUE!,591.48 ,67.43%,7月28日,2023/11/10,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 熊猫鸽子,42,1000,战斗成色,配件丢失,,售出,30500,#VALUE!,722.90 ,45.55%,7月28日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb buck,43,1800,9新,配件齐全,开胶,售出,46314,#VALUE!,426.00 ,25.67%,7月30日,2024/7/15,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EA 黑武士 ,42.5,1470,全新,配件齐全,,售出,53940,#VALUE!,745.19 ,80.34%,7月30日,2023/12/2,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 993 navi,41.5,1110,9新,配件齐全,鞋盒破损,售出,35340,#VALUE!,505.50 ,53.36%,7月30日,2024/3/23,,,,,,,,,,,,,,,,,,,,,,,,,,
aj4 北卡蓝,42.5,500,9新,配件丢失,,未售出,,#VALUE!,1105.80 ,0.00%,8月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 拉斯维加斯,44,2500,99新,配件齐全,,售出,116994,#VALUE!,455.50 ,134.67%,8月1日,2024/6/19,,,闲鱼,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 牙龈出血,42,500,战斗成色,配件丢失,,未售出,,#VALUE!,462.01 ,0.00%,8月1日,,,,闲鱼,,,,,,,,,,,,,,,,,,,,,,,
dunk sb huf 旧金山,42,970,95新,配件齐全,,售出,32550,#VALUE!,1180.94 ,60.83%,8月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb born & raised,41,3500,95新,配件丢失,,售出,107000,#VALUE!,592.34 ,53.06%,8月7日,2023/9/3,,,95分,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,45,1400,9新,配件齐全,,售出,48360,#VALUE!,0.00 ,69.03%,8月7日,2023/12/18,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,43,2500,99新,配件齐全,,售出,83630,#VALUE!,3366.69 ,66.61%,8月7日,2023/10/27,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 辛普森（红）,43,770,95新,配件齐全,,售出,29760,#VALUE!,0.00 ,84.12%,8月8日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 白钻石,44.5,620,8新,配件齐全,,售出,30690,#VALUE!,590.05 ,0.00%,8月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 莱卡,45.5,2000,未使用近全新,配件齐全,,未售出,,#VALUE!,1857.00 ,0.00%,8月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 遛狗特殊盒,42.5,2420,全新,配件齐全,,售出,79050,#VALUE!,966.36 ,62.46%,8月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,42,2300,全新,配件齐全,充新海关,售出,74400,#VALUE!,1665.13 ,60.63%,8月10日,2024/4/16,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 turbo green,44,1200,95新,配件齐全,,售出,30225,#VALUE!,647.76 ,20.12%,8月11日,,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
aj1 薄荷糖,42,1000,95新,配件齐全,闲鱼,售出,30225,#VALUE!,845.19 ,44.15%,8月11日,2024/12/15,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑曜石,43,1200,,,,未售出,,#VALUE!,0.00 ,0.00%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj4 北卡蓝,44,1000,9新,配件鞋盒丢失,,未售出,,#VALUE!,1511.55 ,0.00%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb elephant,42,800,9新,配件齐全,,未售出,,#VALUE!,1394.40 ,0.00%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,45.5,750,8新,配件鞋盒丢失,,售出,50220,#VALUE!,241.48 ,228.16%,8月11日,2024/1/24,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 滑板女郎,44,2300,9新,配件齐全,,售出,70680,#VALUE!,441.48 ,52.38%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 星巴克,44,2950,99新,配件齐全,,售出,100440,#VALUE!,0.00 ,70.25%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 芝加哥,42,1200,9新,配件齐全,,售出,32550,#VALUE!,0.00 ,30.00%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 芝加哥,44,1200,8新,配件齐全,,售出,18414,#VALUE!,0.00 ,-30.07%,8月11日,2024/8/15,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992 jjjj,43,3500,95新,配件齐全,闲鱼,售出,85504,#VALUE!,1711.22 ,21.73%,8月11日,2024/4/2,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992 元祖灰,41,1100,95新,配件齐全,,售出,36400,#VALUE!,1204.68 ,59.67%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EA 黑武士 ,42,625,8新,,,售出,34875,#VALUE!,2072.44 ,168.58%,8月12日,2023/11/30,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EB 黑,44,1050,,,,售出,40920,#VALUE!,360.05 ,89.23%,8月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EB 黑,43,1000,9新,,,售出,34540,#VALUE!,-360.89 ,66.15%,8月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 turbo green,42,1040,9新,,,售出,29760,#VALUE!,760.70 ,36.32%,8月13日,,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992 元祖灰,41,910,95新,配件齐全,,售出,32360,#VALUE!,656.40 ,70.37%,8月13日,2024/4/14,,,95分,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb huf 旧金山,43,1000,95新,配件齐全,,售出,31620,#VALUE!,1053.63 ,51.26%,8月14日,2023/9/13,,,闲鱼,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992 元祖灰,42,1100,9新,配件齐全,鞋盒破损,未售出,,#VALUE!,936.92 ,0.00%,8月14日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑蓝,45,500,9新,配件齐全,,未售出,,#VALUE!,661.54 ,0.00%,8月16日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb mia,42,1400,,,,未售出,,#VALUE!,377.76 ,0.00%,8月16日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑红脚趾,43,1200,95新,配件丢失,,售出,29760,#VALUE!,640.36 ,18.15%,8月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑红脚趾,41,1200,9新,配件齐全,,未售出,,#VALUE!,512.62 ,0.00%,8月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 苏格兰,45,980,9新,配件鞋盒丢失,无原鞋垫,未售出,,#VALUE!,0.00 ,0.00%,8月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 春丽,44,2600,9新,配件齐全,95,售出,80910,#VALUE!,0.00 ,54.86%,8月18日,2023/10/4,,,95分,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 春丽,40,1700,9新,配件齐全,,未售出,,#VALUE!,,,8月20日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 low zion,42.5,1139,9新,配件齐全,,售出,32550,#VALUE!,217.76 ,36.97%,8月21日,2023/10/17,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992 元祖灰,44,1100,9新,配件齐全,,售出,32364,#VALUE!,0.00 ,40.96%,8月21日,2024/7/26,,,,,,,,,,,,,,,,,,,,,,,,,,
ja1 粉,42.5,765,全新,配件齐全,,售出,24180,#VALUE!,0.00 ,48.13%,8月23日,2023/10/5,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992 元祖灰,41,850,9新,配件齐全,,售出,,#VALUE!,1426.41 ,0.00%,8月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 灯芯绒,43,659,8新,配件丢失,,售出,23250,#VALUE!,0.00 ,64.76%,8月29日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 白寡妇,44,1400,全新,配件齐全,,售出,57590,#VALUE!,421.05 ,102.65%,8月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 薄荷糖,42.5,850,9新,,,售出,28760,#VALUE!,450.56 ,60.80%,9月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb born and raised,43,4422,95新,配件齐全,,售出,106150,#VALUE!,368.18 ,20.16%,9月2日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 16,42.5,1750,9新,,,售出,39990,#VALUE!,-950.00 ,10.83%,9月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 情人节 2013,43,2500,全新,配件齐全,,售出,111600,#VALUE!,426.75 ,123.66%,9月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EA 黑武士 ,42.5,650,8新,配件齐全,鞋盒烂,售出,26970,#VALUE!,1437.09 ,221.09%,9月4日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 熊猫鸽子,42,2300,95新,,,售出,61510,#VALUE!,516.76 ,32.04%,9月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 薄荷糖,42.5,1035,95新,配件齐全,,售出,28760,#VALUE!,891.65 ,32.05%,9月7日,2023/11/21,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 高邦钻石,44,1800,9新,配件丢失,鞋带丢失,售出,50550,#VALUE!,189.49 ,37.67%,9月8日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 汤达人,42.5,1200,95新,,,未售出,,#VALUE!,3091.60 ,0.00%,9月8日,,,,闲鱼,,,,,,,,,,,,,,,,,,,,,,,
aj1 扣碎 1.0,44.5,1700,9新,配件齐全,,售出,66500,#VALUE!,625.47 ,93.62%,9月10日,2024/1/21,,,闲鱼,MERUCARI,,,,,,,,,,,,,,,,,,,,,,
dunk sb 熊猫鸽子,42.5,3960,全新,配件齐全,,售出,111600,#VALUE!,737.01 ,41.20%,9月11日,2023/10/31,,,95分,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑红脚趾,40,700,9新,配件齐全,,售出,30620,#VALUE!,331.76 ,108.80%,9月12日,2023/11/26,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 13,44,1700,9新,配件齐全,,售出,55800,#VALUE!,678.05 ,61.52%,9月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 新秀,46,1000,9新,配件齐全,,售出,32085,#VALUE!,0.00 ,53.63%,9月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 芝加哥,44,1300,9新,配件齐全,,售出,37200,#VALUE!,1591.50 ,38.25%,9月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 16,43,3629,全新,配件齐全,,售出,105000,#VALUE!,1631.60 ,44.81%,9月13日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 16,44.5,3700,全新,配件齐全,,售出,102300,#VALUE!,761.62 ,38.31%,9月13日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 新秀,42,813,9新,配件齐全,,售出,32550,#VALUE!,1045.80 ,91.89%,9月14日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 16,44.5,1413,95新,配件齐全,,售出,48360,#VALUE!,536.34 ,67.47%,9月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,
